Titre,Prix,Nombre de pieces,Type,Adresse,Secteur,Surface totale en m^2,Salons,Salles de bain,Etage,Age du bien,Superficie habitable,Frais de syndic / mois,Garage,Securite,Meuble,Climatisation,Chauffage,Parking,Concierge,Piscine,Jardin,Loti,Cuisine equipee,Terrasse,Ascenseur,Balcon
Appartement 132m2 alliance mehdia,500000.0,2.0,Appartements, Alliance mehdia Kenitra,Autre secteur,132 , 2,1,2.0,Neuf/Premiere main,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui
Appartement avendre,380000.0,2.0,Appartements, Hay salam jet sakan,Hay Salam,60 , 1,1,2.0,1-5 ans,60 ,100,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Non,Oui
Appartement de 132 m2 Alliances Mehdia,420000.0,2.0,Appartements, Alliance mehdia Kenitra,Autre secteur,132 , 1,1,0.0,Neuf/Premiere main,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui
Appartement moderne au quartier du Parc,504000.0,2.0,Appartements,,Quartier du Parc,, 1,2,,,,0,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui
Appartement contemporain à Mohammedia,620000.0,2.0,Appartements,,Quartier du Parc,, 1,2,,,,0,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui
Appartement 80 m2 à Zenata,820000.0,1.0,Appartements, Zenata,Toute la ville,80 ,,1,,,,0,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Oui
Appartement de 132 m2 Alliances Mehdia,550000.0,2.0,Appartements, Alliances Mehdia,Autre secteur,132 , 1,1,0.0,Neuf/Premiere main,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non
Appartement à Sidi Bennour,460000.0,4.0,Appartements, tajziat Yassir,Toute la ville,, 1,1,,,100 m,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartements de 80 m Alliances Mehdia,360000.0,2.0,Appartements, Alliances Mehdia,Autre secteur,80 , 1,1,1.0,Neuf/Premiere main,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui
Appartement de 97 m2 Alliances Darna,350000.0,2.0,Appartements, Alliances Darna Mehdia,Autre secteur,97 , 1,1,0.0,Neuf/Premiere main,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non
